label,key,iri,type
IFIP/ACM Working Conference on Component Deployment (CD),streams/conf/cd,https://dblp.org/streams/conf/cd,https://dblp.org/rdf/schema#Conference
China Conference on Machine Translation (CCMT),streams/conf/ccmt,https://dblp.org/streams/conf/ccmt,https://dblp.org/rdf/schema#Conference
China Conference on Information Retrieval (CCIR),streams/conf/ccir,https://dblp.org/streams/conf/ccir,https://dblp.org/rdf/schema#Conference
International Conference on Data Stream Mining & Processing (DSMP),streams/conf/dsmp,https://dblp.org/streams/conf/dsmp,https://dblp.org/rdf/schema#Conference
International Conference on Cloud Computing and Intelligence Systems (CCIS),streams/conf/ccis,https://dblp.org/streams/conf/ccis,https://dblp.org/rdf/schema#Conference
Computational Color Imaging Workshop (CCIW),streams/conf/cciw,https://dblp.org/streams/conf/cciw,https://dblp.org/rdf/schema#Conference
Deterministic and Statistical Methods in Machine Learning (DSMML),streams/conf/dsmml,https://dblp.org/streams/conf/dsmml,https://dblp.org/rdf/schema#Conference
China Conference on Knowledge Graph and Semantic Computing (CCKS),streams/conf/ccks,https://dblp.org/streams/conf/ccks,https://dblp.org/rdf/schema#Conference
Constraints in Computational Logics (CCL),streams/conf/ccl,https://dblp.org/streams/conf/ccl,https://dblp.org/rdf/schema#Conference
International Workshop on Data Science for Macro-Modeling (DSMM),streams/conf/dsmm-ws,https://dblp.org/streams/conf/dsmm-ws,https://dblp.org/rdf/schema#Conference
"IEEE Symposium on Computational Intelligence, Cognitive Algorithms, Mind, and Brain (CCMB)",streams/conf/ccmb,https://dblp.org/streams/conf/ccmb,https://dblp.org/rdf/schema#Conference
Workshop on Domain Theoretic Methods for Probabilistic Processes (DTMPP),streams/conf/dtmpp,https://dblp.org/streams/conf/dtmpp,https://dblp.org/rdf/schema#Conference
"International Conference on Data Science, Machine Learning and Artificial Intelligence (DSMLAI)",streams/conf/dsmlai,https://dblp.org/streams/conf/dsmlai,https://dblp.org/rdf/schema#Conference
Communications and Computer Networks (CCN),streams/conf/ccn,https://dblp.org/streams/conf/ccn,https://dblp.org/rdf/schema#Conference
Consumer Communications and Networking Conference (CCNC),streams/conf/ccnc,https://dblp.org/streams/conf/ccnc,https://dblp.org/rdf/schema#Conference
Workshop on Domain-Specific Modeling Languages (DSML),streams/conf/dsml,https://dblp.org/streams/conf/dsml,https://dblp.org/rdf/schema#Conference
Workshop on Computational Creativity in Natural Language Generation (CC-NLG),streams/conf/ccnlg,https://dblp.org/streams/conf/ccnlg,https://dblp.org/rdf/schema#Conference
Computational Combinatorial Optimization,streams/conf/cco,https://dblp.org/streams/conf/cco,https://dblp.org/rdf/schema#Conference
International Workshop on Domain-Specific Modeling (DSM),streams/conf/dsm,https://dblp.org/streams/conf/dsm,https://dblp.org/rdf/schema#Conference
International Conference on Computer and Communication Systems (ICCCS),streams/conf/ccoms,https://dblp.org/streams/conf/ccoms,https://dblp.org/rdf/schema#Conference
"International Conference on Data Compression, Communications and Processing (CCP)",streams/conf/ccp,https://dblp.org/streams/conf/ccp,https://dblp.org/rdf/schema#Conference
International Workshop on Computer Algebra and Parallelism (CAP),streams/conf/cap,https://dblp.org/streams/conf/cap,https://dblp.org/rdf/schema#Conference
International Symposium on Computing and Networking (CANDAR),streams/conf/candar,https://dblp.org/streams/conf/candar,https://dblp.org/rdf/schema#Conference
Conference of the European Chapter of the Association for Computational Linguistics (EACL),streams/conf/eacl,https://dblp.org/streams/conf/eacl,https://dblp.org/rdf/schema#Conference
Creativity & Cognition,streams/conf/candc,https://dblp.org/streams/conf/candc,https://dblp.org/rdf/schema#Conference
International Conference on Communities and Technologies (C&T),streams/conf/candt,https://dblp.org/streams/conf/candt,https://dblp.org/rdf/schema#Conference
"Conference on Equity and Access in Algorithms, Mechanisms, and Optimization (EAAMO)",streams/conf/eaamo,https://dblp.org/streams/conf/eaamo,https://dblp.org/rdf/schema#Conference
International Workshop on Containers and New Orchestration Paradigms for Isolated Environments in HPC (CANOPIE-HPC),streams/conf/canopie-hpc,https://dblp.org/streams/conf/canopie-hpc,https://dblp.org/rdf/schema#Conference
"Workshop on Communication, Architecture, and Applications for Network-Based Parallel Computing (CANPC)",streams/conf/canpc,https://dblp.org/streams/conf/canpc,https://dblp.org/rdf/schema#Conference
Symposium on Education Advances in Artificial Intelligence (EAAI),streams/conf/eaai,https://dblp.org/streams/conf/eaai,https://dblp.org/rdf/schema#Conference
Cryptology and Network Security (CANS),streams/conf/cans,https://dblp.org/streams/conf/cans,https://dblp.org/rdf/schema#Conference
IEEE International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),streams/conf/camsap,https://dblp.org/streams/conf/camsap,https://dblp.org/rdf/schema#Conference
International Workshop on Early Aspects (EA),streams/conf/ea2,https://dblp.org/streams/conf/ea2,https://dblp.org/rdf/schema#Conference
Modelling and Motion Capture Techniques for Virtual Environments (CAPTECH),streams/conf/captech,https://dblp.org/streams/conf/captech,https://dblp.org/rdf/schema#Conference
"International Asia Conference on Informatics in Control, Automation and Robotics (CAR)",streams/conf/car,https://dblp.org/streams/conf/car,https://dblp.org/rdf/schema#Conference
International Workshop on Environments for Multi-Agent Systems (E4MAS),streams/conf/e4mas,https://dblp.org/streams/conf/e4mas,https://dblp.org/rdf/schema#Conference
Smart Card Research and Advanced Application Conference (CARDIS),streams/conf/cardis,https://dblp.org/streams/conf/cardis,https://dblp.org/rdf/schema#Conference
Latin American Conference on High Performance Computing (CARLA),streams/conf/carla,https://dblp.org/streams/conf/carla,https://dblp.org/rdf/schema#Conference
IEEE/IFIP Workshop on End-to-End Monitoring Techniques and Services (E2EMON),streams/conf/e2emon,https://dblp.org/streams/conf/e2emon,https://dblp.org/rdf/schema#Conference
Workshop on Context-awareness in Retrieval and Recommendation (CaRR),streams/conf/carr,https://dblp.org/streams/conf/carr,https://dblp.org/rdf/schema#Conference
Computer Assisted Radiology and Surgery - International Congress and Exhibition (CARS),streams/conf/cars,https://dblp.org/streams/conf/cars,https://dblp.org/rdf/schema#Conference
IEEE Conference on Evolving and Adaptive Intelligent Systems (EAIS),streams/conf/eais,https://dblp.org/streams/conf/eais,https://dblp.org/rdf/schema#Conference
International Conference on Engineering Applications of Neural Networks (EANN),streams/conf/eann,https://dblp.org/streams/conf/eann,https://dblp.org/rdf/schema#Conference
International Conference on Advanced Information Systems Engineering (CAiSE),streams/conf/caise,https://dblp.org/streams/conf/caise,https://dblp.org/rdf/schema#Conference
International Workshop on Content-Based Access of Image and Video Databases (CAIVD),streams/conf/caivd,https://dblp.org/streams/conf/caivd,https://dblp.org/rdf/schema#Conference
European Association for Machine Translation (EAMT),streams/conf/eamt,https://dblp.org/streams/conf/eamt,https://dblp.org/rdf/schema#Conference
Workshop on Cognitive Aspects of Knowledge Representation (CAKR),streams/conf/cakr,https://dblp.org/streams/conf/cakr,https://dblp.org/rdf/schema#Conference
Conférence francophone sur les Architectures Logicielles (CAL),streams/conf/cal,https://dblp.org/streams/conf/cal,https://dblp.org/rdf/schema#Conference
IEEE Symposium on Evolving and Autonomous Learning Systems (EALS),streams/conf/eals,https://dblp.org/streams/conf/eals,https://dblp.org/rdf/schema#Conference
Cryptography and Lattices (CaLC),streams/conf/calc,https://dblp.org/streams/conf/calc,https://dblp.org/rdf/schema#Conference
Conference on Algebra and Coalgebra in Computer Science (CALCO),streams/conf/calco,https://dblp.org/streams/conf/calco,https://dblp.org/rdf/schema#Conference
International Workshop on Energy Efficient Data Centers (E2DC),streams/conf/e2dc,https://dblp.org/streams/conf/e2dc,https://dblp.org/rdf/schema#Conference
Symposium on the Integration of Symbolic Computation and Mechanized Reasoning (Calculemus),streams/conf/calculemus,https://dblp.org/streams/conf/calculemus,https://dblp.org/rdf/schema#Conference
International Conference on Algorithms and Discrete Applied Mathematics (CALDAM),streams/conf/caldam,https://dblp.org/streams/conf/caldam,https://dblp.org/rdf/schema#Conference
Advanced School on Artificial Intelligence (EAIA),streams/conf/eaia,https://dblp.org/streams/conf/eaia,https://dblp.org/rdf/schema#Conference
Computer Aided Learning and Instruction in Science and Engineering (CALISCE),streams/conf/calisce,https://dblp.org/streams/conf/calisce,https://dblp.org/rdf/schema#Conference
IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),streams/conf/camad,https://dblp.org/streams/conf/camad,https://dblp.org/rdf/schema#Conference
Enterprise Application Integration (EAI),streams/conf/eai,https://dblp.org/streams/conf/eai,https://dblp.org/rdf/schema#Conference
Conference on Applied Machine Learning in Information Security (CAMLIS),streams/conf/camlis,https://dblp.org/streams/conf/camlis,https://dblp.org/rdf/schema#Conference
International Workshop on Computer Architectures for Machine Perception (CAMP),streams/conf/camp,https://dblp.org/streams/conf/camp,https://dblp.org/rdf/schema#Conference
European Across Grids Conference,streams/conf/eagc,https://dblp.org/streams/conf/eagc,https://dblp.org/rdf/schema#Conference
International Conference on Computer Aided Verification (CAV),streams/conf/cav,https://dblp.org/streams/conf/cav,https://dblp.org/rdf/schema#Conference
International Conference on Computers and Their Applications (CATA),streams/conf/cata,https://dblp.org/streams/conf/cata,https://dblp.org/rdf/schema#Conference
Data Warehousing (DW),streams/conf/dw,https://dblp.org/streams/conf/dw,https://dblp.org/rdf/schema#Conference
"International Conference on Culture, Technology, and Communication (CaTaC)",streams/conf/catac,https://dblp.org/streams/conf/catac,https://dblp.org/rdf/schema#Conference
Computers and Advanced Technology in Education (CATE),streams/conf/cate,https://dblp.org/streams/conf/cate,https://dblp.org/rdf/schema#Conference
Conference on Designing for User eXperiences (DUX),streams/conf/dux,https://dblp.org/streams/conf/dux,https://dblp.org/rdf/schema#Conference
Category Theory,streams/conf/category,https://dblp.org/streams/conf/category,https://dblp.org/rdf/schema#Conference
Computing: The Australasian Theory Symposium (CATS),streams/conf/cats,https://dblp.org/streams/conf/cats,https://dblp.org/rdf/schema#Conference
Digital Tools & Uses Congress (DTUC),streams/conf/dtuc,https://dblp.org/streams/conf/dtuc,https://dblp.org/rdf/schema#Conference
Cryptographic Algorithms and their Uses,streams/conf/cau,https://dblp.org/streams/conf/cau,https://dblp.org/rdf/schema#Conference
International Workshop on Computer Architectures to Support Security and Persistence of Information,streams/conf/cassp,https://dblp.org/streams/conf/cassp,https://dblp.org/rdf/schema#Conference
International Workshop on Digital Technologies for Teaching and Learning (DTTL),streams/conf/dttl,https://dblp.org/streams/conf/dttl,https://dblp.org/rdf/schema#Conference
Connected and Automated Vehicles Symposium (CAVS),streams/conf/cavs,https://dblp.org/streams/conf/cavs,https://dblp.org/rdf/schema#Conference
Workshop on Computer Architecture for Non-Numeric Processing (CAW),streams/conf/caw,https://dblp.org/streams/conf/caw,https://dblp.org/rdf/schema#Conference
"IEEE International Conference on Design, Test and Technology of Integrated Systems (DTTIS)",streams/conf/dttis,https://dblp.org/streams/conf/dttis,https://dblp.org/rdf/schema#Conference
Causal Analysis Workshop Series (CAWS),streams/conf/caws,https://dblp.org/streams/conf/caws,https://dblp.org/rdf/schema#Conference
International Workshop on Code-Based Cryptography (CBCrypto),streams/conf/cbc,https://dblp.org/streams/conf/cbc,https://dblp.org/rdf/schema#Conference
International Conference on Digital Twins and Parallel Intelligence (DTPI),streams/conf/dtpi,https://dblp.org/streams/conf/dtpi,https://dblp.org/rdf/schema#Conference
International Conference on Advanced Cloud and Big Data (CBD),streams/conf/cbd,https://dblp.org/streams/conf/cbd,https://dblp.org/rdf/schema#Conference
International Workshop on Camera-Based Document Analysis and Recognition (CBDAR),streams/conf/cbdar,https://dblp.org/streams/conf/cbdar,https://dblp.org/rdf/schema#Conference
IEEE Conference on Automation Science and Engineering (CASE),streams/conf/case,https://dblp.org/streams/conf/case,https://dblp.org/rdf/schema#Conference
CARTOCON,streams/conf/cartocon,https://dblp.org/streams/conf/cartocon,https://dblp.org/rdf/schema#Conference
Curves and Surfaces,streams/conf/cas,https://dblp.org/streams/conf/cas,https://dblp.org/rdf/schema#Conference
Workshop on Experimental Approaches to Wireless Network Design and Analysis (E-WIND),streams/conf/e-wind,https://dblp.org/streams/conf/e-wind,https://dblp.org/rdf/schema#Conference
Computer Algebra in Scientific Computing (CASC),streams/conf/casc,https://dblp.org/streams/conf/casc,https://dblp.org/rdf/schema#Conference
International Conference on Computer Science and Software Engineering (CASCON),streams/conf/cascon,https://dblp.org/streams/conf/cascon,https://dblp.org/rdf/schema#Conference
International Symposium on Dynamic Spectrum Access Networks (DySPAN),streams/conf/dyspan,https://dblp.org/streams/conf/dyspan,https://dblp.org/rdf/schema#Conference
Chinese Academy of Sciences Symposium on Data Mining and Knowledge Management (CASDMKM),streams/conf/casdmkm,https://dblp.org/streams/conf/casdmkm,https://dblp.org/rdf/schema#Conference
Workshop on Challenges and Applications of Automated Extraction of Socio-political Events from Text (CASE),streams/conf/case-ws,https://dblp.org/streams/conf/case-ws,https://dblp.org/rdf/schema#Conference
Workshop on Dynamic Networks Management and Mining (DyNetMM),streams/conf/dynetmm,https://dblp.org/streams/conf/dynetmm,https://dblp.org/rdf/schema#Conference
International Symposium on the Applications of Constraint Databases (CDB),streams/conf/cdb,https://dblp.org/streams/conf/cdb,https://dblp.org/rdf/schema#Conference
International Workshop on Context-Awareness for Self-Managing Systems (CASEMANS),streams/conf/casemans,https://dblp.org/streams/conf/casemans,https://dblp.org/rdf/schema#Conference
Workshop on Dynamic and Adaptive Compilation and Optimization (Dynamo),streams/conf/dynamo,https://dblp.org/streams/conf/dynamo,https://dblp.org/rdf/schema#Conference
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems (CASES)",streams/conf/cases,https://dblp.org/streams/conf/cases,https://dblp.org/rdf/schema#Conference
Workshop on Context-Aware Adaptation of Service Front-Ends (CASFE),streams/conf/casfe,https://dblp.org/streams/conf/casfe,https://dblp.org/rdf/schema#Conference
International Conference on Dynamic Data-Driven Environmental Systems Science (DyDESS),streams/conf/dydess,https://dblp.org/streams/conf/dydess,https://dblp.org/rdf/schema#Conference
Computational Aspects of Social Networks (CASoN),streams/conf/cason,https://dblp.org/streams/conf/cason,https://dblp.org/rdf/schema#Conference
"Construction and Analysis of Safe, Secure, and Interoperable Smart Devices (CASSIS)",streams/conf/cassis,https://dblp.org/streams/conf/cassis,https://dblp.org/rdf/schema#Conference
Workshop on Principles of Diagnosis (DX),streams/conf/dx,https://dblp.org/streams/conf/dx,https://dblp.org/rdf/schema#Conference
International Conference on Discrete Mathematics and Theoretical Computer Science (DMTCS),streams/conf/dmtcs,https://dblp.org/streams/conf/dmtcs,https://dblp.org/rdf/schema#Conference
International Symposium on Distributed Objects and Applications (DOA),streams/conf/doa,https://dblp.org/streams/conf/doa,https://dblp.org/rdf/schema#Conference
ACM SIGCHI New Zealand Chapter's International Conference on Computer-Human Interaction (CHINZ),streams/conf/chinz,https://dblp.org/streams/conf/chinz,https://dblp.org/rdf/schema#Conference
ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play (CHI PLAY),streams/conf/chiplay,https://dblp.org/streams/conf/chiplay,https://dblp.org/rdf/schema#Conference
Databases in Networked Information Systems (DNIS),streams/conf/dnis,https://dblp.org/streams/conf/dnis,https://dblp.org/rdf/schema#Conference
International Conference on Computer-Human Interaction Research and Applications (CHIRA),streams/conf/chira,https://dblp.org/streams/conf/chira,https://dblp.org/rdf/schema#Conference
ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction (CHItaly),streams/conf/chitaly,https://dblp.org/streams/conf/chitaly,https://dblp.org/rdf/schema#Conference
International Meeting on DNA Computing (DNA),streams/conf/dna,https://dblp.org/streams/conf/dna,https://dblp.org/rdf/schema#Conference
Human-Computer Interaction and User Experience Conference (CHIuXiD),streams/conf/chiuxid,https://dblp.org/streams/conf/chiuxid,https://dblp.org/rdf/schema#Conference
Symposium on Human-Computer Interaction for Work (CHIWORK),streams/conf/chiwork,https://dblp.org/streams/conf/chiwork,https://dblp.org/rdf/schema#Conference
China Summit and International Conference on Signal and Information Processing (ChinaSIP),streams/conf/chinasip,https://dblp.org/streams/conf/chinasip,https://dblp.org/rdf/schema#Conference
The CHOROCHRONOS Approach (CHOROCHRONOS),streams/conf/chorochronos,https://dblp.org/streams/conf/chorochronos,https://dblp.org/rdf/schema#Conference
International Conference on Competence in High Performance Computing (CHPC),streams/conf/chpc,https://dblp.org/streams/conf/chpc,https://dblp.org/rdf/schema#Conference
Data Management for Sensor Networks (DMSN),streams/conf/dmsn,https://dblp.org/streams/conf/dmsn,https://dblp.org/rdf/schema#Conference
Conference on Computational Humanities Research (CHR),streams/conf/chr,https://dblp.org/streams/conf/chr,https://dblp.org/rdf/schema#Conference
International Conference on Climate Informatics (CI),streams/conf/ci,https://dblp.org/streams/conf/ci,https://dblp.org/rdf/schema#Conference
International Distributed Multimedia Systems Conference on Visualization and Visual Languages (DMSVIVA),streams/conf/dms,https://dblp.org/streams/conf/dms,https://dblp.org/rdf/schema#Conference
Collective Intelligence Conference (CI),streams/conf/ci2,https://dblp.org/streams/conf/ci2,https://dblp.org/rdf/schema#Conference
International Workshop on Cooperative Information Agents (CIA),streams/conf/cia,https://dblp.org/streams/conf/cia,https://dblp.org/rdf/schema#Conference
International Workshop on Decision Making and Recommender Systems (DMRS),streams/conf/dmrs,https://dblp.org/streams/conf/dmrs,https://dblp.org/rdf/schema#Conference
International Conference of the ACM Greek SIGCHI Chapter (CHI Greece),streams/conf/chigreece,https://dblp.org/streams/conf/chigreece,https://dblp.org/rdf/schema#Conference
International Workshop on Computational History and Data-Driven Humanities (CHDDH),streams/conf/chddh,https://dblp.org/streams/conf/chddh,https://dblp.org/rdf/schema#Conference
Computer Hardware Description Languages and their Applications (CHDL),streams/conf/chdl,https://dblp.org/streams/conf/chdl,https://dblp.org/rdf/schema#Conference
International Conference on Deductive and Object-Oriented Databases (DOOD),streams/conf/dood,https://dblp.org/streams/conf/dood,https://dblp.org/rdf/schema#Conference
Workshop on Research on offensive and defensive techniques in the context of Man At The End (MATE) attacks (Checkmate),streams/conf/checkmate,https://dblp.org/streams/conf/checkmate,https://dblp.org/rdf/schema#Conference
Workshop on Challenges and Opportunities of Efficient and Performant Storage Systems (CHEOPS),streams/conf/cheops,https://dblp.org/streams/conf/cheops,https://dblp.org/rdf/schema#Conference
Workshop on Domains,streams/conf/domains,https://dblp.org/streams/conf/domains,https://dblp.org/rdf/schema#Conference
Conference on Cryptographic Hardware and Embedded Systems (CHES),streams/conf/ches,https://dblp.org/streams/conf/ches,https://dblp.org/rdf/schema#Conference
ACM Conference on Human Factors in Computing Systems (CHI),streams/conf/chi,https://dblp.org/streams/conf/chi,https://dblp.org/rdf/schema#Conference
"Design, Optimization, Languages and Analytical Processing of Big Data (DOLAP)",streams/conf/dolap,https://dblp.org/streams/conf/dolap,https://dblp.org/rdf/schema#Conference
International Conference on Algorithms and Complexity (CIAC),streams/conf/ciac,https://dblp.org/streams/conf/ciac,https://dblp.org/rdf/schema#Conference
Conference on Human Information Interaction and Retrieval (CHIIR),streams/conf/chiir,https://dblp.org/streams/conf/chiir,https://dblp.org/rdf/schema#Conference
Conference on Document Processing Systems (DOCPROCS),streams/conf/docprocs,https://dblp.org/streams/conf/docprocs,https://dblp.org/rdf/schema#Conference
